Model Name,File,Domain,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
NFATMyocyte_DualProtocol_Submodel,models_cellml/calcium_dynamics/NFATMyocyte_DualProtocol_Submodel.cellml,calcium_dynamics,1,0,1,0,0,0,0,17,8
NFATMyocyte_TomidaProtocol_Submodel,models_cellml/calcium_dynamics/NFATMyocyte_TomidaProtocol_Submodel.cellml,calcium_dynamics,1,0,1,0,0,0,0,17,8
cortassa_aon_marban_winslow_orourke_2003,models_cellml/calcium_dynamics/cortassa_aon_marban_winslow_orourke_2003.cellml,calcium_dynamics,43,12,31,12,0,0,0,261,149
cui_kaandorp_2006,models_cellml/calcium_dynamics/cui_kaandorp_2006.cellml,calcium_dynamics,11,4,7,4,0,0,0,53,33
dawson_lea_irvine_2003,models_cellml/calcium_dynamics/dawson_lea_irvine_2003.cellml,calcium_dynamics,20,10,10,10,0,0,0,95,38
devries_sherman_2001,models_cellml/calcium_dynamics/devries_sherman_2001.cellml,calcium_dynamics,9,3,6,3,0,0,0,46,25
deyoung_keizer_1992,models_cellml/calcium_dynamics/deyoung_keizer_1992.cellml,calcium_dynamics,22,5,17,5,0,0,0,91,43
dougherty_wright_yew_2005,models_cellml/calcium_dynamics/dougherty_wright_yew_2005.cellml,calcium_dynamics,23,7,16,7,0,0,0,150,63
dupont_1991a,models_cellml/calcium_dynamics/dupont_1991a.cellml,calcium_dynamics,4,2,2,2,0,0,0,34,18
dupont_1991b,models_cellml/calcium_dynamics/dupont_1991b.cellml,calcium_dynamics,5,2,3,2,0,0,0,38,20
dupont_1992a,models_cellml/calcium_dynamics/dupont_1992a.cellml,calcium_dynamics,6,3,3,3,0,0,0,42,26
dupont_1992b,models_cellml/calcium_dynamics/dupont_1992b.cellml,calcium_dynamics,7,3,4,3,0,0,0,43,26
viswanathan_shaw_rudy_1999_b,models_cellml/calcium_dynamics/viswanathan_shaw_rudy_1999_b.cellml,calcium_dynamics,117,25,92,25,0,0,0,352,180
viswanathan_shaw_rudy_1999_c,models_cellml/calcium_dynamics/viswanathan_shaw_rudy_1999_c.cellml,calcium_dynamics,117,25,92,25,0,0,0,352,180
viswanathan_shaw_rudy_1999_a,models_cellml/calcium_dynamics/viswanathan_shaw_rudy_1999_a.cellml,calcium_dynamics,117,25,92,25,0,0,0,352,180
fall_keizer_2001,models_cellml/calcium_dynamics/fall_keizer_2001.cellml,calcium_dynamics,34,8,26,8,0,0,0,194,109
fink_slepchenko_loew_1999,models_cellml/calcium_dynamics/fink_slepchenko_loew_1999.cellml,calcium_dynamics,6,2,4,2,0,0,0,36,22
fridlyand_tamarina_philipson_2003,models_cellml/calcium_dynamics/fridlyand_tamarina_philipson_2003.cellml,calcium_dynamics,42,7,35,7,0,0,0,199,108
gall_susa_1999_a,models_cellml/calcium_dynamics/gall_susa_1999_a.cellml,calcium_dynamics,12,3,9,3,0,0,0,72,41
gall_susa_1999_b,models_cellml/calcium_dynamics/gall_susa_1999_b.cellml,calcium_dynamics,14,5,9,5,0,0,0,73,43
gall_susa_1999_c,models_cellml/calcium_dynamics/gall_susa_1999_c.cellml,calcium_dynamics,12,4,8,4,0,0,0,69,41
goforth_bertram_khan_zhang_sherman_satin_2002,models_cellml/calcium_dynamics/goforth_bertram_khan_zhang_sherman_satin_2002.cellml,calcium_dynamics,21,5,16,5,0,0,0,84,46
hilgemann_noble_1987,models_cellml/calcium_dynamics/hilgemann_noble_1987.cellml,calcium_dynamics,61,15,46,15,0,0,0,218,111
hinch_greenstein_tanskanen_xu_winslow_2004,models_cellml/calcium_dynamics/hinch_greenstein_tanskanen_xu_winslow_2004.cellml,calcium_dynamics,65,6,59,6,0,0,0,208,109
houart_1999,models_cellml/calcium_dynamics/houart_1999.cellml,calcium_dynamics,7,3,4,3,0,0,0,45,27
iribe_kohl_noble_2006,models_cellml/calcium_dynamics/iribe_kohl_noble_2006.cellml,calcium_dynamics,90,23,67,23,0,0,0,291,144
izakov_katsnelson_blyakhman_markhasin_shkylar_1991,models_cellml/calcium_dynamics/izakov_katsnelson_blyakhman_markhasin_shkylar_1991.cellml,calcium_dynamics,22,2,20,2,0,0,0,51,46
jafri_rice_winslow_1998_a,models_cellml/calcium_dynamics/jafri_rice_winslow_1998_a.cellml,calcium_dynamics,97,31,66,31,0,0,0,293,164
jafri_rice_winslow_1998_b,models_cellml/calcium_dynamics/jafri_rice_winslow_1998_b.cellml,calcium_dynamics,111,36,75,36,0,0,0,335,202
katsnelson_2004a,models_cellml/calcium_dynamics/katsnelson_2004a.cellml,calcium_dynamics,59,9,50,9,0,0,0,190,98
katsnelson_2004b,models_cellml/calcium_dynamics/katsnelson_2004b.cellml,calcium_dynamics,59,9,50,9,0,0,0,190,98
katsnelson_2004c,models_cellml/calcium_dynamics/katsnelson_2004c.cellml,calcium_dynamics,59,9,50,9,0,0,0,190,98
keener_2001,models_cellml/calcium_dynamics/keener_2001.cellml,calcium_dynamics,13,8,5,2,6,0,0,62,32
keizer_levine_1996,models_cellml/calcium_dynamics/keizer_levine_1996.cellml,calcium_dynamics,14,6,8,6,0,0,0,70,30
landesberg_sideman_1994,models_cellml/calcium_dynamics/landesberg_sideman_1994.cellml,calcium_dynamics,44,14,30,14,0,0,0,129,81
lebeau_yule_groblewski_sneyd_1999,models_cellml/calcium_dynamics/lebeau_yule_groblewski_sneyd_1999.cellml,calcium_dynamics,9,4,5,4,0,0,0,42,23
lemon_2003,models_cellml/calcium_dynamics/lemon_2003.cellml,calcium_dynamics,17,7,10,7,0,0,0,149,54
li_rinzel_1994,models_cellml/calcium_dynamics/li_rinzel_1994.cellml,calcium_dynamics,10,6,4,6,0,0,0,23,22
