,0,1,2
58,lebeau_yule_groblewski_sneyd_1999,https://models.physiomeproject.org/exposure/f9f508271e84e7c92596a27332ae3421/lebeau_yule_groblewski_sneyd_1999.cellml,calcium_dynamics
59,lemon_2003,https://models.physiomeproject.org/exposure/d7c4eca1662324918761bc5b18745cd1/lemon_2003.cellml,calcium_dynamics
60,li_rinzel_1994,https://models.physiomeproject.org/exposure/be7a891ac95b45c9b651f88821b6d2b4/li_rinzel_1994.cellml,calcium_dynamics
61,magnus_keizer_1997,https://models.physiomeproject.org/exposure/880c91f65d8a67d08a911659f8a344a7/magnus_keizer_1997.cellml,calcium_dynamics
62,magnus_keizer_1998,https://models.physiomeproject.org/exposure/59d68aeddccd8b44879215841e289938/magnus_keizer_1998.cellml,calcium_dynamics
63,marhl_haberichter_brumen_heinrich_2000,https://models.physiomeproject.org/exposure/5b97f7ccae0def18b27f287b5e3bc813/marhl_haberichter_brumen_heinrich_2000.cellml,calcium_dynamics
64,marhl_schuster_brumen_heinrich_1997,https://models.physiomeproject.org/exposure/2293d197c76ac4c8d0c29e8831c9a327/marhl_schuster_brumen_heinrich_1997.cellml,calcium_dynamics
65,mckenzie_sneyd_1998,https://models.physiomeproject.org/exposure/d2ae260f34fea156204014df4f1b59b0/mckenzie_sneyd_1998.cellml,calcium_dynamics
66,mears_sheppard_atwater_rojas_bertram_sherman_1997,https://models.physiomeproject.org/exposure/5e0804f38832d0ecedf04f7403c565b5/mears_sheppard_atwater_rojas_bertram_sherman_1997.cellml,calcium_dynamics
67,michailova_mcculloch_2001,https://models.physiomeproject.org/exposure/9e77fb28778473706ebd43bd5bea86d7/michailova_mcculloch_2001.cellml,calcium_dynamics
68,michailova_2005,https://models.physiomeproject.org/exposure/720f5c67a03d513abfd43fd0027c9e41/michailova_2005.cellml,calcium_dynamics
69,mosekilde_lading_yanchuk_maistrenko_2001,https://models.physiomeproject.org/exposure/7f056cfd284daf3b3bbaf2ae23b0ff5e/mosekilde_lading_yanchuk_maistrenko_2001.cellml,calcium_dynamics
70,nagerl_novo_mody_vergara_2000,https://models.physiomeproject.org/exposure/61a7c1c77845ebb9476aa05d63a152de/nagerl_novo_mody_vergara_2000.cellml,calcium_dynamics
71,noble_noble_2001,https://models.physiomeproject.org/exposure/e42fb39e149f444be872e04e6e731ac0/noble_noble_2001.cellml,calcium_dynamics
72,noble_varghese_kohl_noble_1998_b,https://models.physiomeproject.org/exposure/a40c4434423c0436e2789a2d457b7ab2/noble_varghese_kohl_noble_1998_b.cellml,calcium_dynamics
73,noble_varghese_kohl_noble_1998_c,https://models.physiomeproject.org/exposure/a40c4434423c0436e2789a2d457b7ab2/noble_varghese_kohl_noble_1998_c.cellml,calcium_dynamics
74,plant_1981,https://models.physiomeproject.org/exposure/f6c9c998e7deb7e4a45c8aa71b469f7f/plant_1981.cellml,calcium_dynamics
75,puglisi_bers_2001,https://models.physiomeproject.org/exposure/6e476eaa1f45f0ad607754b3ccd89a1a/puglisi_bers_2001.cellml,calcium_dynamics
76,purvis_butera_2005,https://models.physiomeproject.org/exposure/aa68273ccf3ddc62f35709a9822feaa0/purvis_butera_2005.cellml,calcium_dynamics
77,raposo_2002,https://models.physiomeproject.org/exposure/ea84bd6e27e521677bfc2d6283b371f3/raposo_2002.cellml,calcium_dynamics
78,rice_jafri_winslow_2000,https://models.physiomeproject.org/exposure/4dece1858d3eababf6aa425e1084a801/rice_jafri_winslow_2000.cellml,calcium_dynamics
79,rice_winslow_jafri_1999,https://models.physiomeproject.org/exposure/0aaab0a02a6ad97c8a37b2fe4a345e7c/rice_winslow_jafri_1999.cellml,calcium_dynamics
80,riemer_sobie_tung_1998,https://models.physiomeproject.org/exposure/d8b6b7ced6b110db392bc0e2968a88a9/riemer_sobie_tung_1998.cellml,calcium_dynamics
81,sachse_glanzel_seemann_2003,https://models.physiomeproject.org/exposure/5c3ff5fbbfe51da3c2d2a684a4062436/sachse_glanzel_seemann_2003.cellml,calcium_dynamics
82,saftenku_williams_sitsapesan_2001_H1_model,https://models.physiomeproject.org/exposure/722b95cd19e972c0a07d823d474507c8/saftenku_williams_sitsapesan_2001_H1_model.cellml,calcium_dynamics
83,saftenku_williams_sitsapesan_2001_H2_model,https://models.physiomeproject.org/exposure/722b95cd19e972c0a07d823d474507c8/saftenku_williams_sitsapesan_2001_H2_model.cellml,calcium_dynamics
