Model Name,File,Domain,All Domains,Equation Count,Differential Equation Count,Algebraic Equation Count,ODE count,PDE count,State variable count,Algebraic Variable Count,Total Variable Count,Actual Variable Count
fox_mcharg_gilmour_2002,models_cellml2/electrophysiology/fox_mcharg_gilmour_2002.cellml,electrophysiology,electrophysiology,65,13,52,13,0,0,0,256,116
bindschadler_sneyd_2001,models_cellml2/calcium_dynamics/bindschadler_sneyd_2001.cellml,calcium_dynamics,calcium dynamics,17,4,13,4,0,0,0,79,32
lemaire_tobin_greller_cho_suva_2004_d,models_cellml2/endocrine/lemaire_tobin_greller_cho_suva_2004_d.cellml,endocrine,endocrine,11,3,8,3,0,0,0,53,35
hund_rudy_2004_a,models_cellml2/electrophysiology/hund_rudy_2004_a.cellml,electrophysiology,electrophysiology,137,29,108,29,0,0,0,320,192
rice_jafri_winslow_2000,models_cellml2/calcium_dynamics/rice_jafri_winslow_2000.cellml,calcium_dynamics,calcium dynamics | myofilament mechanics,112,35,77,35,0,0,0,360,188
egli_bertram_sellix_freeman_2004,models_cellml2/endocrine/egli_bertram_sellix_freeman_2004.cellml,endocrine,endocrine,6,3,3,3,0,0,0,25,18
noble_noble_2001,models_cellml2/calcium_dynamics/noble_noble_2001.cellml,calcium_dynamics,calcium dynamics | electrophysiology,84,20,64,20,0,0,0,305,150
bonhoeffer_rembiszewski_ortiz_nixon_2000_b,models_cellml2/immunology/bonhoeffer_rembiszewski_ortiz_nixon_2000_b.cellml,immunology,immunology,4,4,0,4,0,0,0,33,18
chang_fujita_2001_anion_exchanger,models_cellml2/electrophysiology/chang_fujita_2001_anion_exchanger.cellml,electrophysiology,electrophysiology | ion transport,7,6,1,6,0,0,0,83,26
muller_obeyesekere_mills_ram_2008,models_cellml2/signal_transduction/muller_obeyesekere_mills_ram_2008.cellml,signal_transduction,signal transduction,8,6,2,6,0,0,0,44,28
phillips_baseline_2008,models_cellml2/circadian_rhythms/phillips_baseline_2008.cellml,circadian_rhythms,circadian rhythms | neurobiology,8,3,5,3,0,0,0,38,23
cartwright_husain_1986,models_cellml2/endocrine/cartwright_husain_1986.cellml,endocrine,endocrine,6,3,3,3,0,0,0,21,14
benson_endocardial_2008,models_cellml2/electrophysiology/benson_endocardial_2008.cellml,electrophysiology,electrophysiology,137,29,108,29,0,0,0,319,191
liu_hu_peng_liu_1999,models_cellml2/endocrine/liu_hu_peng_liu_1999.cellml,endocrine,endocrine,8,5,3,5,0,0,0,89,42
sneyd_tsaneva-atanasova_yule_thompson_shuttleworth_2004,models_cellml2/calcium_dynamics/sneyd_tsaneva-atanasova_yule_thompson_shuttleworth_2004.cellml,calcium_dynamics,calcium dynamics,19,8,11,8,0,0,0,109,48
snyder_palmer_moore_2000,models_cellml2/calcium_dynamics/snyder_palmer_moore_2000.cellml,calcium_dynamics,calcium dynamics,21,10,11,10,0,0,0,89,49
baylor_hollingworth_chandler_2002_f,models_cellml2/calcium_dynamics/baylor_hollingworth_chandler_2002_f.cellml,calcium_dynamics,calcium dynamics,4,4,0,4,0,0,0,35,9
yamaguchi_takaki_matsubara_yasuhara_suga_1996,models_cellml2/calcium_dynamics/yamaguchi_takaki_matsubara_yasuhara_suga_1996.cellml,calcium_dynamics,calcium dynamics | excitation-contraction coupling | myofilament mechanics,12,5,7,5,0,0,0,54,28
bakker_michels_opperdoes_westerhoff_1997,models_cellml2/metabolism/bakker_michels_opperdoes_westerhoff_1997.cellml,metabolism,metabolism,43,10,33,10,0,0,0,219,105
Weinstein_2000_AE1,models_cellml2/ion_transport/Weinstein_2000_AE1.cellml,ion_transport,ion transport,19,1,18,1,0,0,0,48,33
perelson_neumann_markowitz_leonard_ho_1996,models_cellml2/immunology/perelson_neumann_markowitz_leonard_ho_1996.cellml,immunology,immunology,4,3,1,3,0,0,0,22,10
lpc,models_cellml2/cardiovascular_circulation/lpc.cellml,cardiovascular_circulation,cardiovascular circulation,133,31,102,31,0,0,0,237,237
chang_fujita_b_1999,models_cellml2/electrophysiology/chang_fujita_b_1999.cellml,electrophysiology,electrophysiology,39,9,30,9,0,0,0,178,67
chang_fujita_1999,models_cellml2/electrophysiology/chang_fujita_1999.cellml,electrophysiology,electrophysiology,12,12,0,12,0,0,0,187,51
yates_stark_klein_antia_callard_2007_a,models_cellml2/cell_cycle/yates_stark_klein_antia_callard_2007_a.cellml,cell_cycle,cell cycle | immunology,3,2,1,2,0,0,0,20,8
haugh_2004b,models_cellml2/endocrine/haugh_2004b.cellml,endocrine,endocrine,8,1,7,1,0,0,0,49,21
guyton_stress_relaxation_2008,models_cellml2/cardiovascular_circulation/guyton_stress_relaxation_2008.cellml,cardiovascular_circulation,cardiovascular circulation,2,2,0,2,0,0,0,17,8
siebert_CC_2008,models_cellml2/mechanical_constitutive_laws/siebert_CC_2008.cellml,mechanical_constitutive_laws,mechanical constitutive laws,7,1,6,1,0,0,0,27,26
lenbury_pacheenburawana_1991,models_cellml2/endocrine/lenbury_pacheenburawana_1991.cellml,endocrine,endocrine,3,3,0,3,0,0,0,21,11
guyton_antidiuretic_hormone_2008,models_cellml2/cardiovascular_circulation/guyton_antidiuretic_hormone_2008.cellml,cardiovascular_circulation,cardiovascular circulation,11,1,10,1,0,0,0,41,23
mittler_sulzer_neumann_perelson_1998,models_cellml2/immunology/mittler_sulzer_neumann_perelson_1998.cellml,immunology,immunology,13,7,6,7,0,0,0,60,23
hodgkin_huxley_1952_variant01,models_cellml2/electrophysiology/hodgkin_huxley_1952_variant01.cellml,electrophysiology,electrophysiology,17,4,13,4,0,0,0,45,23
potter_greller_cho_nuttall_stroup_suva_tobin_2005_b,models_cellml2/endocrine/potter_greller_cho_nuttall_stroup_suva_tobin_2005_b.cellml,endocrine,endocrine,10,5,5,5,0,0,0,75,26
shorten_ocallaghan_davidson_soboleva_2007_variant01,models_cellml2/excitation-contraction_coupling/shorten_ocallaghan_davidson_soboleva_2007_variant01.cellml,excitation-contraction_coupling,excitation-contraction coupling,133,56,77,56,0,0,0,389,233
nagano_2001,models_cellml2/mechanical_constitutive_laws/nagano_2001.cellml,mechanical_constitutive_laws,mechanical constitutive laws,10,1,9,1,0,0,0,23,22
difrancesco_noble_1985,models_cellml2/electrophysiology/difrancesco_noble_1985.cellml,electrophysiology,electrophysiology,66,16,50,16,0,0,0,237,112
nash_panfilov_2004,models_cellml2/electrophysiology/nash_panfilov_2004.cellml,electrophysiology,electrophysiology | myofilament mechanics,9,3,6,3,0,0,0,50,21
hynne_dano_sorensen_2001,models_cellml2/metabolism/hynne_dano_sorensen_2001.cellml,metabolism,metabolism,46,22,24,22,0,0,0,250,107
herz_bonhoeffer_anderson_may_nowak_1996,models_cellml2/immunology/herz_bonhoeffer_anderson_may_nowak_1996.cellml,immunology,immunology,4,4,0,4,0,0,0,24,12
landesberg_sideman_1994,models_cellml2/calcium_dynamics/landesberg_sideman_1994.cellml,calcium_dynamics,calcium dynamics | electrophysiology,44,14,30,14,0,0,0,129,81
westermark_lansner_2003,models_cellml2/metabolism/westermark_lansner_2003.cellml,metabolism,metabolism,15,3,12,3,0,0,0,66,38
tyson_hong_thron_novak_1999,models_cellml2/circadian_rhythms/tyson_hong_thron_novak_1999.cellml,circadian_rhythms,circadian rhythms,3,2,1,2,0,0,0,18,13
Pandit_Hinch_Niederer,models_cellml2/excitation-contraction_coupling/Pandit_Hinch_Niederer.cellml,excitation-contraction_coupling,excitation-contraction coupling,17,6,11,6,0,0,0,200,69
bental_2006,models_cellml2/mechanical_constitutive_laws/bental_2006.cellml,mechanical_constitutive_laws,mechanical constitutive laws,19,7,12,7,0,0,0,61,43
katsnelson_2004a,models_cellml2/calcium_dynamics/katsnelson_2004a.cellml,calcium_dynamics,calcium dynamics | electrophysiology,59,9,50,9,0,0,0,190,98
cui_kaandorp_lloyd_2008_a,models_cellml2/electrophysiology/cui_kaandorp_lloyd_2008_a.cellml,electrophysiology,electrophysiology,18,17,1,17,0,0,0,166,35
miftakhov_abdusheva_christensen_1999,models_cellml2/electrophysiology/miftakhov_abdusheva_christensen_1999.cellml,electrophysiology,electrophysiology,18,5,13,5,0,0,0,80,33
martins_mendes_coreiro_freire_2001,models_cellml2/metabolism/martins_mendes_coreiro_freire_2001.cellml,metabolism,metabolism,2,2,0,2,0,0,0,19,14
lindblad_murphey_clark_giles_1996,models_cellml2/electrophysiology/lindblad_murphey_clark_giles_1996.cellml,electrophysiology,electrophysiology,108,28,80,28,0,0,0,294,159
yang_clark_bryan_robertson_2003,models_cellml2/calcium_dynamics/yang_clark_bryan_robertson_2003.cellml,calcium_dynamics,calcium dynamics | signal transduction,74,15,59,15,0,0,0,264,155
goldbeter_pourquie_2008_a,models_cellml2/circadian_rhythms/goldbeter_pourquie_2008_a.cellml,circadian_rhythms,circadian rhythms | signal transduction,34,16,18,16,0,0,0,193,111
li_rinzel_1994,models_cellml2/calcium_dynamics/li_rinzel_1994.cellml,calcium_dynamics,calcium dynamics | electrophysiology,10,6,4,6,0,0,0,23,22
niederer_hunter_smith_2006,models_cellml2/electrophysiology/niederer_hunter_smith_2006.cellml,electrophysiology,electrophysiology | endocrine | excitation-contraction coupling,25,5,20,5,0,0,0,72,48
circ_pbpk,models_cellml2/cardiovascular_circulation/circ_pbpk.cellml,cardiovascular_circulation,cardiovascular circulation,135,44,91,44,0,0,0,365,227
ostby_oyehaug_einevoll_nagelhus_plahte_zeuthen_voipio_lloyd_ottersen_omholt_2008,models_cellml2/electrophysiology/ostby_oyehaug_einevoll_nagelhus_plahte_zeuthen_voipio_lloyd_ottersen_omholt_2008.cellml,electrophysiology,electrophysiology | neurobiology,40,8,32,8,0,0,0,219,68
luo_rudy_1994,models_cellml2/electrophysiology/luo_rudy_1994.cellml,electrophysiology,electrophysiology,76,12,64,12,0,0,0,275,129
gupta_aslakson_gurbaxani_vernon_2007_a,models_cellml2/endocrine/gupta_aslakson_gurbaxani_vernon_2007_a.cellml,endocrine,endocrine,5,4,1,4,0,0,0,30,13
leloup_1998b,models_cellml2/circadian_rhythms/leloup_1998b.cellml,circadian_rhythms,circadian rhythms,13,10,3,10,0,0,0,95,54
cloutier_2009,models_cellml2/metabolism/cloutier_2009.cellml,metabolism,metabolism | neurobiology,100,36,64,36,0,0,0,626,226
perelson_1993c,models_cellml2/immunology/perelson_1993c.cellml,immunology,immunology,7,4,3,4,0,0,0,42,20
